Phase,Area,Item,Description,Priority,Status,UI Reference,Notes
Phase 0,Product,Single consumer identity,"One identity for comments, purchases, and tracking",High,Pending,Release+Shop,"Must be approved before implementation"
Phase 0,Auth,Separate entry points,"Two plain text links: artist or band / consumer",High,Pending,Current auth shell,"No dropdown or mixed selector in artist form"
Phase 0,Auth,Consumer auth method,"Consumer flow uses Google as primary sign-in",High,Pending,Current auth shell,"Independent form and route"
Phase 0,UX,Release inheritance,"Comments module must inherit Release visual language",High,Pending,Release,"Mandatory"
Phase 0,UX,Shop inheritance,"Purchases, history and tracking must inherit Shop visual language",High,Pending,Shop,"Mandatory"
Phase 0,Data,Consumer profile collection,"Create dedicated consumerProfiles collection",High,Pending,N/A,"Separate from artist profiles"
Phase 0,Comments,Authenticated comments,"Comments require authenticated consumer account in MVP",High,Pending,Release,"No anonymous primary flow"
Phase 0,Commerce,Login before checkout,"Require login when purchase must persist to history and tracking",High,Pending,Shop,"Avoid weak reconciliation"
Phase 0,Moderation,Initial moderation,"Default comment state and approval policy must be closed",High,Pending,Admin/System,"Pending by default recommended"
Phase 0,Performance,Public read strategy,"Comments must not block release render or shop performance",High,Pending,Release+Shop,"Critical architecture guardrail"
Phase 1,Identity,Extend users,"Add consumer segmentation without breaking creator/admin flows",High,Pending,N/A,"Prefer explicit userType or controlled equivalent"
Phase 1,Identity,Create consumerProfiles,"Store functional consumer data separate from auth",High,Pending,N/A,"Owner relation must be unique"
Phase 1,Identity,Access control review,"Validate permissions matrix for admin, creator, consumer",High,Pending,N/A,"Avoid regressions"
Phase 2,Auth,Google integration design,"Design callback, linking, and deduplication strategy",High,Pending,Current auth shell,"No implementation yet"
Phase 2,Auth,Consumer routes,"Define dedicated consumer login/register routes",High,Pending,Current auth shell,"Text links only"
Phase 3,Comments,Create comments collection,"Model moderated comments linked to release and artist",High,Pending,Release,"Paginated reads only"
Phase 3,Comments,Public comments module,"Add comments section as extension of release page",High,Pending,Release,"No social widget look"
Phase 3,Comments,Moderation workflow,"Support admin or artist review according to final policy",Medium,Pending,Admin/System,"Depends on final permissions"
Phase 4,Commerce,Order linkage,"Link orders to user and consumer profile",High,Pending,Shop,"Keep provider IDs too"
Phase 4,Commerce,Transaction linkage,"Link transactions to internal identity",High,Pending,Shop,"Support future verified buyer logic"
Phase 4,Commerce,Verified buyer rule,"Derive verified purchase state from valid orders",Medium,Pending,Release+Shop,"Do not set manually"
Phase 5,Account,My Account shell,"Create consumer account shell without inventing a third UI",High,Pending,Release+Shop,"Reuse existing tone and spacing"
Phase 5,Account,My comments,"List comments with release and artist context",Medium,Pending,Release,"Editorial tone"
Phase 5,Account,My purchases,"List orders, items, and statuses",High,Pending,Shop,"Commerce tone"
Phase 5,Account,Tracking,"Show fulfillment and tracking data when present",High,Pending,Shop,"Do not slow checkout path"
Phase 6,Performance,Indexes,"Create indexes for comments, orders, transactions, and ownership lookups",High,Pending,N/A,"Must be ready before growth"
Phase 6,Performance,Async secondary work,"Move notifications, aggregates and analytics off critical requests",High,Pending,N/A,"Protect public response times"
Phase 6,Quality,Observability,"Monitor comment writes, checkout speed, and consumer account queries",Medium,Pending,N/A,"Baseline metrics required"
Phase 6,Quality,Testing,"Cover auth, access control, relations, and critical views",High,Pending,N/A,"Pre-release requirement"
