Track,Phase,Workstream,Task ID,Task,Outcome,Priority,Owner,Depends On,Phase Gate,Ready For Branch,UI Reference,Status,Target Date,Notes
Governance,Phase 0,Product,P0-01,Approve single consumer identity,"One Oddsound consumer identity covers comments, purchases, and tracking",Critical,Product Lead,None,Phase 0 lock,Yes,Release+Shop,Approved,2026-08-24,"Foundational product decision"
Governance,Phase 0,Auth,P0-02,Approve separate auth entry points,"Two plain text links: artist or band / consumer",Critical,Product Lead,None,Phase 0 lock,Yes,Current auth shell,Approved,2026-08-24,"No dropdown, no mixed selector"
Governance,Phase 0,Auth,P0-03,Approve consumer auth method,"Consumer flow uses Google as primary sign-in",Critical,Product Lead,P0-02,Phase 0 lock,Yes,Current auth shell,Approved,2026-08-24,"Independent consumer flow"
Governance,Phase 0,UX,P0-04,Approve Release inheritance,"Comments and consumer activity inherit Release visual language",Critical,Design Lead,None,Phase 0 lock,Yes,Release,Approved,2026-08-24,"Mandatory spec compliance"
Governance,Phase 0,UX,P0-05,Approve Shop inheritance,"Purchases, history, and tracking inherit Shop visual language",Critical,Design Lead,None,Phase 0 lock,Yes,Shop,Approved,2026-08-24,"Mandatory spec compliance"
Governance,Phase 0,Data,P0-06,Approve consumer profile collection,"Dedicated consumerProfiles collection is accepted",Critical,Tech Lead,P0-01,Phase 0 lock,Yes,N/A,Approved,2026-08-25,"Must stay separate from artist profiles"
Governance,Phase 0,Comments,P0-07,Approve authenticated comments,"Comments require authenticated consumer account in MVP",Critical,Product Lead,P0-01,Phase 0 lock,Yes,Release,Approved,2026-08-25,"No anonymous primary flow"
Governance,Phase 0,Commerce,P0-08,Approve login before checkout,"Login is required when purchase must persist to history and tracking",Critical,Product Lead,P0-01|P0-03,Phase 0 lock,Yes,Shop,Approved,2026-08-25,"Prevents weak reconciliation; Mercado Pago wiring merges later from separate branch"
Governance,Phase 0,Moderation,P0-09,Approve moderation policy,"Initial moderation state, actors, and publish rule are closed",High,Product Lead,P0-07,Phase 0 lock,Yes,Admin/System,Approved,2026-08-25,"Pending by default; admin always and artist on own releases"
Governance,Phase 0,Architecture,P0-10,Approve performance guardrails,"Comments and commerce will not block Release, Shop, or checkout",Critical,Tech Lead,None,Phase 0 lock,Yes,Release+Shop,Approved,2026-08-25,"Must be explicit before branch"
Execution,Phase 1,Identity,I1-01,Extend users model,"Users can distinguish consumer from creator/admin safely",Critical,Backend,P0-01|P0-06,Identity complete,No,N/A,Completed,2026-08-27,"Implemented on feature/consumer-identity-foundation"
Execution,Phase 1,Identity,I1-02,Create consumerProfiles collection,"Functional consumer profile stored separately from auth",Critical,Backend,I1-01,Identity complete,No,N/A,Completed,2026-08-27,"Implemented on feature/consumer-identity-foundation"
Execution,Phase 1,Security,I1-03,Review access control,"Permissions matrix validated for admin, creator, consumer",Critical,Backend,I1-01|I1-02,Identity complete,No,N/A,Completed,2026-08-28,"Validated with integration coverage"
Execution,Phase 1,Types,I1-04,Regenerate and validate types,"Payload types remain coherent after consumer model changes",High,Backend,I1-01|I1-02,Identity complete,No,N/A,Completed,2026-08-28,"Types regenerated and checked locally"
Execution,Phase 2,Auth,A2-01,Define consumer routes,"Dedicated consumer login/register routes are specified",Critical,Frontend,P0-02|P0-03,Auth entry complete,No,Current auth shell,Completed,2026-08-29,"Consumer login/register split from creator shell"
Execution,Phase 2,Auth,A2-02,Design Google callback and linking,"Google sign-in links correctly to internal user and consumerProfile",Critical,Backend,P0-03|I1-01|I1-02,Auth entry complete,No,N/A,Completed,2026-08-29,"Google callback and account linking implemented"
Execution,Phase 2,UX,A2-03,Design auth shell copy and links,"Plain text links coexist with current creator shell without UI drift",High,Frontend,A2-01,Auth entry complete,No,Current auth shell,Completed,2026-08-29,"Text links only, no dropdown"
Execution,Phase 3,Comments,C3-01,Create comments collection,"Comments persist with moderation state and release relationships",Critical,Backend,I1-02|P0-07|P0-09,Comments domain complete,No,N/A,Completed,2026-08-31,"Comments collection created"
Execution,Phase 3,Comments,C3-02,Implement comments access rules,"Published comments are public, writes are authenticated, moderation is restricted",Critical,Backend,C3-01|I1-03,Comments domain complete,No,N/A,Completed,2026-08-31,"Access paths enforced in collection config and route"
Execution,Phase 3,Frontend,C3-03,Design Release comments module,"Comments module extends Release page without social widget aesthetics",Critical,Frontend,C3-01|A2-03,Comments domain complete,No,Release,Completed,2026-09-01,"Rendered with Release-aligned typography and dividers"
Execution,Phase 3,Moderation,C3-04,Define moderation operations,"Admin or artist review flow matches final permissions policy",High,Backend,C3-01|P0-09,Comments domain complete,No,Admin/System,Completed,2026-09-01,"Pending by default; artist/admin moderation scoped"
Execution,Phase 4,Commerce,M4-01,Link orders to internal identity,"Orders store user and consumerProfile references",Critical,Backend,P0-08|I1-02,Commerce identity complete,No,Shop,Completed,2026-09-03,"Prepared without Mercado Pago branch merge"
Execution,Phase 4,Commerce,M4-02,Link transactions to internal identity,"Transactions map provider events to internal consumer identity",Critical,Backend,M4-01,Commerce identity complete,No,Shop,Completed,2026-09-03,"Prepared without Mercado Pago branch merge"
Execution,Phase 4,Commerce,M4-03,Design checkout auth gate,"Shop purchase flow asks for login without slowing purchase path",Critical,Frontend,P0-08|A2-03|M4-01,Commerce identity complete,No,Shop,Completed,2026-09-04,"Consumer login gate with redirect preservation"
Execution,Phase 4,Commerce,M4-04,Define verified buyer derivation,"Verified purchase derives from valid orders, not manual flags",Medium,Backend,M4-01|M4-02,Commerce identity complete,No,Release+Shop,Pending,2026-09-04,"Future-facing capability"
Execution,Phase 5,Account,U5-01,Define My Account shell,"Consumer account shell reuses Release and Shop language without inventing a third UI",Critical,Frontend,C3-03|M4-03,Consumer account complete,Yes,Release+Shop,Completed,2026-09-07,"V1 includes comments, purchases, tracking and status"
Execution,Phase 5,Account,U5-02,Define My Comments view,"Consumer can see comments with release and artist context",High,Frontend,U5-01|C3-01,Consumer account complete,No,Release,Completed,2026-09-07,"Editorial tone preserved"
Execution,Phase 5,Account,U5-03,Define My Purchases view,"Consumer can see orders, items, statuses, and totals",Critical,Frontend,U5-01|M4-01,Consumer account complete,No,Shop,Completed,2026-09-08,"Commerce tone preserved"
Execution,Phase 5,Account,U5-04,Define Tracking view,"Consumer can see fulfillment state and tracking when available",High,Frontend,U5-03|M4-02,Consumer account complete,No,Shop,Completed,2026-09-08,"Does not alter checkout critical path"
Execution,Phase 6,Performance,P6-01,Create indexes,"Comments, orders, transactions, and ownership indexes are applied",Critical,Backend,C3-01|M4-01|M4-02,Release readiness,No,N/A,In Progress,2026-09-10,"Comments indexes added; commerce indexes still depend on broader review"
Execution,Phase 6,Architecture,P6-02,Move secondary work off critical path,"Notifications, aggregates, and analytics are asynchronous or deferred",Critical,Backend,C3-01|M4-01,Release readiness,No,N/A,Completed,2026-09-10,"Current scope avoids blocking release, account, and checkout paths with secondary work"
Execution,Phase 6,Observability,P6-03,Add monitoring baselines,"Track comment writes, checkout speed, account query latency, identity link errors, and reconciliation errors",High,Backend,P6-01|P6-02,Release readiness,Yes,N/A,Completed,2026-09-11,"Logging baselines added to auth, comments, account, and checkout entry points"
Execution,Phase 6,QA,P6-04,Define and run critical tests,"Auth, access control, relations, and UI-critical flows are validated",Critical,QA,I1-04|C3-02|M4-03|U5-04,Release readiness,No,Release+Shop,In Progress,2026-09-11,"Comment guard tests added; full release gate continues with broader regression suite"
